市場別,報告年度,公司代號,公司名稱,前十大股東持股情況,持股集中度,網絡中心性,風險等級,異常標籤
上市,2023,1101,台泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1101_20240521F17.pdf,57.3102839119093,0.0005449591280653951,低風險,正常
上市,2023,1102,亞泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1102_20240625F17.pdf,66.20924247271617,0.0005449591280653951,中風險,正常
上市,2023,1103,嘉泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1103_20240524F17.pdf,89.39474301869419,0.0005449591280653951,高風險,正常
上市,2023,1104,環泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1104_20240621F17.pdf,86.4073263755441,0.0005449591280653951,高風險,正常
上市,2023,1108,幸福,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1108_20240618F17.pdf,78.94234074850108,0.0005449591280653951,中風險,正常
上市,2023,1109,信大,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1109_20240619F17.pdf,80.36966243654463,0.0005449591280653951,高風險,正常
上市,2023,1110,東泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1110_20240621F17.pdf,87.36066483303185,0.0005449591280653951,高風險,正常
上市,2023,1201,味全,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1201_20240627F17.pdf,66.36377987370732,0.0005449591280653951,中風險,正常
上市,2023,1203,味王,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1203_20240626F17.pdf,80.74848424724567,0.0005449591280653951,高風險,正常
上市,2023,1210,大成,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1210_20240607F17.pdf,71.60950754946559,0.0005449591280653951,中風險,正常
上市,2023,1213,大飲,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1213_20241016F17.pdf,85.87229886339821,0.0005449591280653951,高風險,正常
上市,2023,1215,卜蜂,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1215_20240625F17.pdf,64.23800080944426,0.0005449591280653951,中風險,正常
上市,2023,1216,統一,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1216_20240627F17.pdf,71.50637886128251,0.0005449591280653951,中風險,正常
上市,2023,1217,愛之味,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1217_20240621F17.pdf,55.92533343182849,0.0005449591280653951,低風險,正常
上市,2023,1218,泰山,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1218_20240528F17.pdf,77.53510099245537,0.0005449591280653951,中風險,正常
上市,2023,1219,福壽,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1219_20240605F17.pdf,69.4874298446534,0.0005449591280653951,中風險,正常
上市,2023,1220,台榮,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1220_20240627F17.pdf,62.73064177843657,0.0005449591280653951,中風險,正常
上市,2023,1225,福懋油,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1225_20240626F17.pdf,81.12228931048541,0.0005449591280653951,高風險,正常
上市,2023,1227,佳格,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1227_20240619F17.pdf,51.715009054416285,0.0005449591280653951,低風險,正常
上市,2023,1229,聯華,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1229_20240527F17.pdf,73.30834066721765,0.0005449591280653951,中風險,正常
上市,2023,1231,聯華食,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1231_20240614F17.pdf,63.080289882457876,0.0005449591280653951,中風險,正常
上市,2023,1232,大統益,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1232_20240613F17.pdf,50.23264475983785,0.0005449591280653951,低風險,正常
上市,2023,1233,天仁,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1233_20240613F17.pdf,66.49372397174264,0.0005449591280653951,中風險,正常
上市,2023,1234,黑松,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1234_20240619F17.pdf,82.78143887417761,0.0005449591280653951,高風險,正常
上市,2023,1235,興泰,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1235_20240618F17.pdf,63.26896929537062,0.0005449591280653951,中風險,正常
上市,2023,1236,宏亞,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1236_20240524F17.pdf,61.8044894592099,0.0005449591280653951,中風險,正常
上市,2023,1256,鮮活果汁-KY,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1256_20240606F17.pdf,56.70830008235684,0.0005449591280653951,低風險,正常
上市,2023,1301,台塑,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1301_20240620F17.pdf,58.97883935490333,0.0005449591280653951,低風險,正常
上市,2023,1303,南亞,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1303_20240619F17.pdf,51.27970644064762,0.0005449591280653951,低風險,正常
上市,2023,1304,台聚,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1304_20240531F17.pdf,57.490443354194404,0.0005449591280653951,低風險,正常
上市,2023,1305,華夏,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1305_20240528F17.pdf,79.99469009757529,0.0005449591280653951,中風險,正常
上市,2023,1307,三芳,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1307_20240619F17.pdf,64.9998067829448,0.0005449591280653951,中風險,正常
上市,2023,1308,亞聚,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1308_20240530F17.pdf,87.34677923623194,0.0005449591280653951,高風險,正常
上市,2023,1309,台達化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1309_20240531F17.pdf,65.8528705128764,0.0005449591280653951,中風險,正常
上市,2023,1310,台苯,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1310_20240531F17.pdf,72.65440048518069,0.0005449591280653951,中風險,正常
上市,2023,1312,國喬,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1312_20240607F17.pdf,50.79573981993486,0.0005449591280653951,低風險,正常
上市,2023,1313,聯成,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1313_20240524F17.pdf,76.26241725314797,0.0005449591280653951,中風險,正常
