"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1259","安心","AN-SHIN","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://encsr.mos.com.tw/download.php?lang=tw&tb=1","","2023/08/23","","","https://encsr.mos.com.tw/download.php?lang=tw&tb=1                                                                                                                                                      ","","2023/10/03","","","csr@mos.com.tw                                                                                                          ","無"
"1264","德麥","TEHMAG","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","志璟會計師事務所","","https://www.tehmag.com.tw/investors.php?NO=3","","2023/09/26","","","                                                                                                                                                                                                        ","","","","","acc@tehmag.com.tw                                                                                                       ",""
"1268","漢來美食","Hi-Lai Foods","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.hilai-foods.com/stakeholders#98","","2023/07/31","","","                                                                                                                                                                                                        ","","","","","stock@hilai-foods.com                                                                                                   ",""
"1336","台翰","TAIHAN","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","TUV 德國北德技術監護顧問股份有限公司","","https://www.thpt.com.tw/downloads/","","2023/09/26","","","                                                                                                                                                                                                        ","","","","","jackson_liu@thpt.com.tw                                                                                                 ",""
"1584","精剛","STC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","其他","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","http://www.s-tech.com.tw/files/%E7%B2%BE%E5%89%9B%E7%B2%BE%E5%AF%86_2022%E5%B9%B4%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf","","2023/09/27","","","http://www.s-tech.com.tw/en/a4-2279-6130/Sustainability-Report.html                                                                                                                                     ","","2024/01/24","","","helen@gmtc.com.tw                                                                                                       ",""
"1586","和勤","CFTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電機機械","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.cftc-hc.com.tw/csr/CSR%E6%94%BF%E7%AD%96.htm","","2023/08/18","","","                                                                                                                                                                                                        ","","","","","administration@cftc.tw                                                                                                  ",""
"1742","台蠟","TWC","3. 屬化學工業者","化學工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","","","2023/09/28","","2024/02/05","                                                                                                                                                                                                        ","","","","","twx6688@ms26.hinet.net                                                                                                  ",""
"1777","生泰","SYN-TECH","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.syn-tech.com.tw","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","fcsm@syn-tech.com.tw                                                                                                    ",""
"1785","光洋科","Solar","5. 股本達新臺幣一百億元以上者","其他電子業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣檢驗科技股份有限公司（SGS Taiwan Ltd.）","","https://www.solartech.com.tw/esg/download_esg_report/","","2023/06/26","","","https://www.solartech.com.tw/en/esg/download_esg_report/                                                                                                                                                ","","2023/07/12","","","service@solartech.com.tw                                                                                                ",""
"1796","金穎生技","GeneFerm","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.geneferm.com/zh-tw/governance.html","","2023/08/30","","","                                                                                                                                                                                                        ","","","","","yuting_chiu@geneferm.com                                                                                                ","無"
"1815","富喬","FFG","5. 股本達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.ffg.com.tw/q/om/om25.pdf","","2023/06/15","","","                                                                                                                                                                                                        ","","","","","ckc@ffg.com.tw                                                                                                          ",""
"2035","唐榮公司","TE","5. 股本達新臺幣一百億元以上者","鋼鐵工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.tangeng.tw.com","","2023/06/21","","2024/01/31","http://www.tangeng.com.tw                                                                                                                                                                               ","","2023/09/06","","2024/01/31","13076@mail.tangeng.com.tw                                                                                               ","無"
"2063","世鎧","SHEH KAI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","鋼鐵工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.shehkai.com.tw/list/cate-60076.htm","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","roger@shehkai.com.tw                                                                                                    ",""
"2065","世豐","SF","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","鋼鐵工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.shehfung.com/userfiles/HR/ESG%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8(2022%E5%B9%B4).pdf","","2023/09/28","","","https://www.shehfung.com/userfiles/HR/ESG%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8(2022%E5%B9%B4)%E5%A0%B1%E5%91%8A%E6%9B%B8-%E8%8B%B1%E6%96%87%E7%89%88.pdf                                        ","","2024/01/22","","","info@shehfung.com                                                                                                       ","無"
"2641","正德","Franbo Lines","5. 股本達新臺幣一百億元以上者","航運業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.franbo.com.tw/financial.asp?id=2046","","2023/06/30","","","                                                                                                                                                                                                        ","","","","","kevincheng@franbo.com.tw                                                                                                ",""
"2643","捷迅","Soonest","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","航運業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://esg.soonest.com/PageDown/Index","","2023/06/29","","","                                                                                                                                                                                                        ","","","","","soonest@soonest.com.tw                                                                                                  ","無。"
"2729","瓦城","TTFB","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.ttfb.com/","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","csr@ttfb.com                                                                                                            ",""
"2732","六角","La Kaffa","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","永安聯合會計師事務所","","https://lakaffagroup.com/","","2023/09/26","","","                                                                                                                                                                                                        ","","","","","ninka.chen@lakaffa.com.tw                                                                                               ",""
"2740","天蔥","Mr. Onion","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","蘊揚聯合會計師事務所","","http://www.mr-onion.com/Enterprise/CSR","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","irene.lee@mr-onion.com                                                                                                  ",""
"2752","豆府","TOFU","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","正大聯合會計師事務所","","https://www.tofuglobal.com/tw/CSR.html","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","irene.chen@dubuhouse.com.tw                                                                                             ",""
"2754","亞洲藏壽司","KURA SUSHI ASIA","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://investor.kurasushi.tw/corporate-social-responsibility/","","2023/06/27","","","                                                                                                                                                                                                        ","","","","","ir@kurasushi.tw                                                                                                         ",""
"2755","揚秦","YoungQin","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","觀光餐旅","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會台灣分公司(BSI Taiwan)","","https://www.youngqin.com.tw/index.php?code=list&ids=888","","2023/08/10","","","https://www.youngqin.com.tw/index.php?code=list&ids=888                                                                                                                                                 ","","2023/08/10","","","CSR@youngqin.com.tw                                                                                                     ",""
"3078","僑威","CWT","5. 股本達新臺幣一百億元以上者","電子零組件業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.cwt.com.tw/uploadfiles/company/Cop_88.pdf","","2023/09/26","","","                                                                                                                                                                                                        ","","","","","chi@mail.cwt.com.tw                                                                                                     ","無"
"3081","聯亞","LandMark","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=25&index=3","","2023/06/30","","","https://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=25&index=3                                                                                                                    ","","2023/08/17","","","csr@lmoc.com.tw                                                                                                         ",""
"3083","網龍","CHINESEGAMER","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.chinesegamer.net/web/i9.asp","","2023/09/27","","","                                                                                                                                                                                                        ","","","","","investment@chinesegamer.net                                                                                             ",""
"3086","華義","WAYI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","SGS Taiwan Ltd.","","https://www.wayi.net/w_middle15.htm","","2023/09/26","","","http://10.0.2.35/active/wayinet2/Download/a15-06.pdf                                                                                                                                                    ","","2023/11/30","","","ESG@wayi.com.tw                                                                                                         ",""
"3088","艾訊","AXIOMTEK","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電腦及週邊設備業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&ItemId=194&C=%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95%E5%B0%88%E5%8D%80","","2023/06/30","","","https://www.axiomtek.com/Default.aspx?MenuId=AboutUs&ItemId=818&C=CSR+at+Axiomtek                                                                                                                       ","","2023/12/27","","","skin.huang@axiomtek.com.tw                                                                                              ","無"
